19:55:46.414  INFO  manager.ApplicationManager - All tests star in Chrome Browser
19:55:48.191  INFO  manager.ApplicationManager - Current Url -->https://telranedu.web.app/home
19:55:48.217  INFO  tests.TestBase - The name of starts method is --->addNewContactSuccessRequiredFields
19:55:48.219  INFO  manager.ListenerWD - Before find elements  --> By.xpath: //*[text()='Sign Out']
19:55:53.238  INFO  manager.ListenerWD - After find elements  --> By.xpath: //*[text()='Sign Out']
19:55:53.240  INFO  manager.ListenerWD - List size is  --> 0
19:55:53.246  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: a[href='/login']
19:55:53.272  INFO  manager.ListenerWD - After find element  --> By.cssSelector: a[href='/login']
19:55:53.402  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Email']
19:55:53.425  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Email']
19:55:53.526  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Password']
19:55:53.553  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Password']
19:55:53.639  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: button[name='login']
19:55:53.656  INFO  manager.ListenerWD - After find element  --> By.cssSelector: button[name='login']
19:55:53.719  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: a[href='/add']
19:55:54.238  INFO  manager.ListenerWD - After find element  --> By.cssSelector: a[href='/add']
19:55:54.281  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Name']
19:55:54.301  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Name']
19:55:54.387  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Last Name']
19:55:54.402  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Last Name']
19:55:54.470  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Phone']
19:55:54.482  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Phone']
19:55:54.553  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='email']
19:55:54.566  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='email']
19:55:54.639  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Address']
